,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,Continent
9552,RUS,Russia,2020-02-15,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9553,RUS,Russia,2020-02-16,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9554,RUS,Russia,2020-02-17,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9555,RUS,Russia,2020-02-18,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9556,RUS,Russia,2020-02-19,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9557,RUS,Russia,2020-02-20,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9558,RUS,Russia,2020-02-21,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9559,RUS,Russia,2020-02-22,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9560,RUS,Russia,2020-02-23,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9561,RUS,Russia,2020-02-24,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9562,RUS,Russia,2020-02-25,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9563,RUS,Russia,2020-02-26,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9564,RUS,Russia,2020-02-27,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9565,RUS,Russia,2020-02-28,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9566,RUS,Russia,2020-02-29,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9567,RUS,Russia,2020-03-01,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9568,RUS,Russia,2020-03-02,2,0,0,0,0.013999999999999999,0.0,0.0,0.0,4.0
9569,RUS,Russia,2020-03-03,3,1,0,0,0.021,0.006999999999999999,0.0,0.0,4.0
9570,RUS,Russia,2020-03-04,4,1,0,0,0.027000000000000003,0.006999999999999999,0.0,0.0,4.0
9571,RUS,Russia,2020-03-05,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9572,RUS,Russia,2020-03-06,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9573,RUS,Russia,2020-03-07,10,6,0,0,0.069,0.040999999999999995,0.0,0.0,4.0
9574,RUS,Russia,2020-03-08,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9575,RUS,Russia,2020-03-09,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9576,RUS,Russia,2020-03-10,10,0,0,0,0.069,0.0,0.0,0.0,4.0
9577,RUS,Russia,2020-03-11,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9578,RUS,Russia,2020-03-12,25,15,0,0,0.171,0.10300000000000001,0.0,0.0,4.0
9579,RUS,Russia,2020-03-13,30,5,0,0,0.20600000000000002,0.034,0.0,0.0,4.0
9580,RUS,Russia,2020-03-14,45,15,0,0,0.308,0.10300000000000001,0.0,0.0,4.0
9581,RUS,Russia,2020-03-15,59,14,0,0,0.40399999999999997,0.096,0.0,0.0,4.0
9582,RUS,Russia,2020-03-16,63,4,0,0,0.43200000000000005,0.027000000000000003,0.0,0.0,4.0
9583,RUS,Russia,2020-03-17,93,30,0,0,0.637,0.20600000000000002,0.0,0.0,4.0
9584,RUS,Russia,2020-03-18,114,21,0,0,0.7809999999999999,0.14400000000000002,0.0,0.0,4.0
9585,RUS,Russia,2020-03-19,147,33,0,0,1.0070000000000001,0.226,0.0,0.0,4.0
9586,RUS,Russia,2020-03-20,199,52,0,0,1.364,0.35600000000000004,0.0,0.0,4.0
9587,RUS,Russia,2020-03-21,253,54,0,0,1.734,0.37,0.0,0.0,4.0
9588,RUS,Russia,2020-03-22,306,53,0,0,2.097,0.363,0.0,0.0,4.0
9589,RUS,Russia,2020-03-23,438,132,0,0,3.0010000000000003,0.905,0.0,0.0,4.0
9590,RUS,Russia,2020-03-24,438,0,0,0,3.0010000000000003,0.0,0.0,0.0,4.0
9591,RUS,Russia,2020-03-25,495,57,0,0,3.392,0.391,0.0,0.0,4.0
9592,RUS,Russia,2020-03-26,658,163,0,0,4.5089999999999995,1.117,0.0,0.0,4.0
9593,RUS,Russia,2020-03-27,840,182,2,2,5.756,1.247,0.013999999999999999,0.013999999999999999,4.0
9594,RUS,Russia,2020-03-28,1036,196,4,2,7.099,1.3430000000000002,0.027000000000000003,0.013999999999999999,4.0
9595,RUS,Russia,2020-03-29,1264,228,5,1,8.661,1.5619999999999998,0.034,0.006999999999999999,4.0
9596,RUS,Russia,2020-03-30,1534,270,8,3,10.512,1.85,0.055,0.021,4.0
9597,RUS,Russia,2020-03-31,1836,302,10,2,12.581,2.069,0.069,0.013999999999999999,4.0
9598,RUS,Russia,2020-04-01,2337,501,17,7,16.014,3.4330000000000003,0.11599999999999999,0.048,4.0
9599,RUS,Russia,2020-04-02,2777,440,24,7,19.029,3.015,0.16399999999999998,0.048,4.0
9600,RUS,Russia,2020-04-03,3548,771,30,6,24.311999999999998,5.2829999999999995,0.20600000000000002,0.040999999999999995,4.0
9601,RUS,Russia,2020-04-04,4149,601,34,4,28.430999999999997,4.118,0.233,0.027000000000000003,4.0
9602,RUS,Russia,2020-04-05,4731,582,43,9,32.419000000000004,3.988,0.295,0.062,4.0
9603,RUS,Russia,2020-04-06,5389,658,45,2,36.928000000000004,4.5089999999999995,0.308,0.013999999999999999,4.0
9604,RUS,Russia,2020-04-07,6343,954,47,2,43.465,6.537000000000001,0.322,0.013999999999999999,4.0
9605,RUS,Russia,2020-04-08,7497,1154,58,11,51.372,7.9079999999999995,0.397,0.075,4.0
9606,RUS,Russia,2020-04-09,8672,1175,63,5,59.424,8.052,0.43200000000000005,0.034,4.0
9607,RUS,Russia,2020-04-10,10131,1459,76,13,69.422,9.998,0.521,0.08900000000000001,4.0
9608,RUS,Russia,2020-04-11,11917,1786,94,18,81.66,12.238,0.644,0.12300000000000001,4.0
9609,RUS,Russia,2020-04-12,13584,1667,106,12,93.083,11.423,0.726,0.08199999999999999,4.0
9610,RUS,Russia,2020-04-13,15770,2186,130,24,108.06200000000001,14.979000000000001,0.8909999999999999,0.16399999999999998,4.0
9611,RUS,Russia,2020-04-14,18328,2558,148,18,125.59100000000001,17.528,1.014,0.12300000000000001,4.0
9612,RUS,Russia,2020-04-15,21102,2774,170,22,144.599,19.009,1.165,0.151,4.0
9613,RUS,Russia,2020-04-16,24490,3388,198,28,167.815,23.215999999999998,1.357,0.192,4.0
9614,RUS,Russia,2020-04-17,27938,3448,232,34,191.442,23.627,1.59,0.233,4.0
9615,RUS,Russia,2020-04-18,32008,4070,273,41,219.331,27.889,1.871,0.281,4.0
9938,SMR,San Marino,2019-12-31,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9939,SMR,San Marino,2020-01-01,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9940,SMR,San Marino,2020-01-02,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9941,SMR,San Marino,2020-01-03,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9942,SMR,San Marino,2020-01-04,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9943,SMR,San Marino,2020-01-05,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9944,SMR,San Marino,2020-01-06,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9945,SMR,San Marino,2020-01-07,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9946,SMR,San Marino,2020-01-08,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9947,SMR,San Marino,2020-01-09,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9948,SMR,San Marino,2020-01-10,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9949,SMR,San Marino,2020-01-11,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9950,SMR,San Marino,2020-01-12,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9951,SMR,San Marino,2020-01-13,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9952,SMR,San Marino,2020-01-14,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9953,SMR,San Marino,2020-01-15,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9954,SMR,San Marino,2020-01-16,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9955,SMR,San Marino,2020-01-17,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9956,SMR,San Marino,2020-01-18,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9957,SMR,San Marino,2020-01-19,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9958,SMR,San Marino,2020-01-20,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9959,SMR,San Marino,2020-01-21,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9960,SMR,San Marino,2020-01-22,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9961,SMR,San Marino,2020-01-23,0,0,0,0,0.0,0.0,0.0,0.0,4.0
9962,SMR,San Marino,2020-01-24,0,0,0,0,0.0,0.0,0.0,0.0,4.0
